what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315171955268
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315171973003
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1315172196627
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1315172198037
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315172206447
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1315172206839
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315172207213
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315172209455
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1315172209977
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315172210330
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315172228019
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1315172302759
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315172304179
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1315172304611
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315172304958
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315172306969
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1315172307919
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315172308269
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315172326015
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1315172406237
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315172407107
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1315172407569
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315172407999
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315172410271
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1315172410881
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315172411242
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315172428927
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1315172505679
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315172645773
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1315172646453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315172646773
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315172648989
