what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314802614486
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1314802752336
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1314802770186
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314802774686
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314802776096
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314802776986
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314802777306
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314802779456
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314802780006
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314802780336
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314802799176
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1314802850056
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314802851736
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314802859736
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314802860736
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314802861066
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314802863216
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314802863866
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314802864186
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314802883056
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314803037656
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314803038316
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803038666
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803040866
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314803047346
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1314803143748
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314803153158
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314803153908
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803154268
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803156298
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314803157248
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803157578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803176618
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314803217918
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314803219108
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1314803223348
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314803225658
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803225988
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803228258
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314803228778
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803229098
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803247648
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314803276528
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314803284328
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314803284748
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803285098
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803287238
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314803288018
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803288328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803306918
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1314803336298
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314803343498
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314803345638
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314803346168
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803346538
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803348588
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314803350118
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803350458
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803368638
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1314803520378
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314803521898
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314803529248
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314803529768
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803530118
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803532358
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314803532838
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803533158
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803533388
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314803538868
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803539178
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314803557538
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1314803586478
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314803594008
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314803596268
