what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874237642
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874241486
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314874243633
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314874246278
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874246860
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1314874246944
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874249673
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1314874251976
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1314874255698
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1314874258702
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874260347
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874261087
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1314874272913
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1314874272961
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874273501
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874294967
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874299649
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874304784
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1314874304860
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1314874304919
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1314874307928
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1314874319290
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1314874321663
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314874324143
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1314874326415
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1314874327854
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314874328366
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1314874330549
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874332589
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874334795
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1314874355320
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1314874394847
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874396644
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874401193
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314874402919
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1314874404445
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874406325
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874408177
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874417034
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874427470
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1314874427511
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1314874428613
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1314874430662
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1314874436915
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1314874441335
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874441883
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874501787
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1314874503939
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874504573
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874570644
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1314874570766
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874583941
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874592213
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314874593974
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314874602217
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874613045
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874625227
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314874654423
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314874666193
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314874666929
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874667255
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874670607
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1314874675732
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1314874677908
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1314874677923
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314874680454
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874680754
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874681363
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874684130
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874688516
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1314874688544
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874698681
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874705540
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314874708422
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314877625490
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1314877686780
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314877688000
