what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1315341148998
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315341149286
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315341151582
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1315341154792
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315341155124
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315341155234
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1315341166424
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315341166754
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315341190486
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315341320174
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1315341321926
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315341322275
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315341324542
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1315341337902
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315341338241
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315341361998
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315341472053
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1315341474184
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315341474511
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315341476808
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1315341508926
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1315341511356
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315341551194
