what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314311139082
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311139485
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311141460
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314311142366
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311142702
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311155044
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314311186761
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314311187784
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314311188289
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311188664
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311190813
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314311191582
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311191920
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311208520
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314311235811
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314311236638
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311237013
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311239394
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314311240221
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311240569
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311257144
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314311269524
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314311270333
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311270690
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311272698
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314311276415
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314311277197
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311277514
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311279603
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314311280138
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311280470
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311297044
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314311317608
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314311318287
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311318626
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311320711
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314311321631
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311321941
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311338397
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314311363760
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314311364584
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311364953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311367127
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314311367649
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311368016
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314311384584
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314311405922
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314311406453
