what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1315168822333
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1315168844103
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1315168849653
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1315168864015
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1315168877889
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1315168886519
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.format",1315168899831
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1315168953787
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315169097835
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1315169098247
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315169098638
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315169099389
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1315169101737
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1315169112867
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1315169118067
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315169118356
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315169118955
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315169143509
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1315169144071
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315169144365
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315169144980
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1315169151443
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315169151732
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315169152389
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1315169160621
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1315169161533
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315169181767
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1315169182637
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315169182924
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315169183612
