what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314381990925
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314381994650
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314381995447
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314381995767
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382013223
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382023369
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382060413
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1314382103976
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1314382104122
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1314382119664
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314382121887
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314382122680
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382123019
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382126676
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314382135786
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314382138126
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314382138605
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382138940
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382142469
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314382144553
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382144864
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382161187
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314382193821
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314382202257
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314382203076
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382203385
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382206770
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314382207671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382207993
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382210832
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314382224939
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1314382248485
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314382253671
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314382254270
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382254594
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382258302
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314382258982
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382259306
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382276765
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314382296495
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314382301180
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314382302356
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314382302938
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382303278
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382306642
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314382308061
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382308342
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382325707
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382343993
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382418239
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1314382447350
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382474207
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382482931
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314382484930
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314382487075
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314382487999
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382488330
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314382492214
