what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1314827163627
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314827166167
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1314827175347
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314827177227
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314827178129
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827178461
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827180752
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314827183993
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827184320
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827184445
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314827190745
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827191055
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827214717
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314827373119
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314827373471
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827373808
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827376209
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314827388611
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827388905
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827389481
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314827390553
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827390887
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827391105
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314827396545
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827396865
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827420527
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314827509699
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314827512468
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314827513561
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827513885
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827516287
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314827532189
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827532528
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827532621
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314827536993
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827537293
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827561015
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314827595225
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314827595747
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827596078
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827598411
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314827598951
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827599287
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314827622995
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1314830640469
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314830642349
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314830671021
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314830671911
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314830672248
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314830674683
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1314830698705
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314830700785
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314830701075
