what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313950589965
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313950590175
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313950600459
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1313950601529
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313950601849
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313950607269
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1313950627389
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.activateEditor",1313950956139
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.activateEditor",1313950957039
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313951054759
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1313951055219
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313951057799
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313951068039
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313951077719
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313951078879
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313951080899
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313951082359
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313951084529
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313951086289
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313951087759
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313951089799
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313951091469
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313951153249
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313951157419
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313951166029
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313951168399
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1313951179429
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313951199329
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1313951200159
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313951200489
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313951202489
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313951208450
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1313951220800
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313951221120
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313951221340
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1313951233346
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313951233656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313951239776
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1313951481086
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313951486216
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313951486256
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1313951486306
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1313951486326
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1313951486626
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313951486656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313951487916
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1313951488896
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1313951488906
error,log,,,"Error starting process.",1313951488956
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313951488996
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313951490366
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313951491446
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1313951492916
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313951493226
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313951495256
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1313951496166
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313951496506
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313951502516
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1313951620896
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1313951647526
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313951653496
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313951664776
