what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1313957825030
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1313957825030
os,sysinfo,,,"win32",1313957825033
arch,sysinfo,,,"x86",1313957825033
ws,sysinfo,,,"win32",1313957825033
locale,sysinfo,,,"pl_PL",1313957825033
processors,sysinfo,,,"2",1313957825033
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1313957825033
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1313957825033
java.specification.name,sysinfo,,,"Java Platform API Specification",1313957825033
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313957825033
java.specification.version,sysinfo,,,"1.6",1313957825033
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1313957825033
java.version,sysinfo,,,"1.6.0_24",1313957825033
java.vm.info,sysinfo,,,"mixed mode, sharing",1313957825033
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1313957825033
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1313957825033
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313957825033
java.vm.specification.version,sysinfo,,,"1.0",1313957825033
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1313957825033
java.vm.version,sysinfo,,,"19.1-b02",1313957825033
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313957860793
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1313957861560
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313957861920
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1313957862184
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313957863223
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1313957867288
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1313957869246
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1313958156223
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1313958158350
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1313958175324
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1313958175480
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1313958192383
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.format",1313958196400
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.format",1313958223612
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313958226409
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1313958227303
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313958227617
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313958229719
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1313958231352
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313958262322
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1313958263077
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1313958263417
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1313958263468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313958263495
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313958263664
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1313958274288
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313958274610
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313958280704
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1313958283851
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1313958283859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313958285879
