what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1314384734834
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1314384734834
os,sysinfo,,,"win32",1314384734838
arch,sysinfo,,,"x86",1314384734838
ws,sysinfo,,,"win32",1314384734838
locale,sysinfo,,,"pl_PL",1314384734838
processors,sysinfo,,,"2",1314384734838
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1314384734838
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1314384734838
java.specification.name,sysinfo,,,"Java Platform API Specification",1314384734838
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314384734838
java.specification.version,sysinfo,,,"1.6",1314384734838
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1314384734838
java.version,sysinfo,,,"1.6.0_24",1314384734838
java.vm.info,sysinfo,,,"mixed mode, sharing",1314384734838
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1314384734838
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1314384734838
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314384734838
java.vm.specification.version,sysinfo,,,"1.0",1314384734838
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1314384734838
java.vm.version,sysinfo,,,"19.1-b02",1314384734838
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314384735049
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314384740007
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314384751032
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314384756910
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314384760297
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314384760680
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314384761000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314384765453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314384771014
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314384772303
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314384772339
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1314384773032
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314384773952
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1314384774318
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1314384774320
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314384774362
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314384774620
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314384781298
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314384781574
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314384799329
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1314384827675
