what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314296537624
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314296538052
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314296538359
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314296545420
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314296579193
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314296580152
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314296580507
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314296582432
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314296583113
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314296583456
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314296590426
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1314296673813
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314296677215
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314296679652
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314296682093
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314296686474
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314296688846
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314296691847
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314296695114
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314296698081
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314296701053
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314296704375
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314296705137
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314296705497
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314296707583
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1314296709303
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314296709669
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314296717201
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1314296801099
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1314296801951
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314296805000
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1314296809226
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1314296809714
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314296809975
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1314296809980
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1314296809980
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1314297062239
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314297096956
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1314297160933
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314297164137
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314297167805
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1314297181445
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314297186851
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314297192488
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1314297200496
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1314297253944
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1314297254137
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1314297258849
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1314297281094
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314297285180
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314297289045
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314297292837
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314297295163
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314297297760
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314297300667
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314297304047
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314297306470
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314297312969
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.format",1314297334450
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314297343082
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300319166
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300321513
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300430116
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314300448868
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300464077
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300484240
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314300490539
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300496973
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300579464
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314300592385
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300610234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300674421
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314300678500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300724657
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300740757
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300747239
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300749794
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1314300758832
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1314300761620
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300768391
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300818345
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300843911
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300858929
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300906633
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300951188
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314300956043
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314300960601
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314301030555
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314301036219
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314301040386
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314301041229
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314301041603
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314301042466
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1314301052346
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1314301061561
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1314301064338
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1314301064786
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314301067180
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1314301070059
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1314301080961
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314301084048
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314301085016
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314301085310
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314301087590
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314301095003
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314301099608
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314301108371
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314301119025
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314301145547
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314301195734
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314301237491
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314301238219
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314301238536
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314301239334
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1314301264812
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1314301265396
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314301265773
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1314301266368
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1314301277405
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1314301277561
