what,kind,bundleId,bundleVersion,description,time
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1315769689944
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315769690254
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315769729504
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1315769792695
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1315769909735
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1315769937245
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1315769937985
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1315769938555
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1315769938815
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1315769939105
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315769950295
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1315769952555
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315769952895
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315769955155
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1315769958785
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315769959095
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315769998325
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315770244645
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315770321335
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1315770324985
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1315770327255
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315770332035
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1315770332735
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315770333055
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315770335375
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1315770335895
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315770336215
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315770336445
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1315770369413
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315770369733
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315770369963
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1315770373975
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315770374275
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315770376735
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1315770387265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315770387565
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315770426915
